gifi_code,balance,amount,net_cents
1001,DR,12471.83,1247183
1121,DR,10015.47,1001547
1301,DR,2000.00,200000
1484,DR,1490.07,149007
2620,CR,7404.68,-740468
2680,CR,2663.01,-266301
2781,CR,5497.35,-549735
3500,CR,100.00,-10000
3600,DR,20244.44,2024444
8000,CR,230906.57,-23090657
8518,DR,110283.92,11028392
8520,DR,797.71,79771
8523,DR,408.47,40847
8622,DR,3609.84,360984
8690,DR,1951.00,195100
8710,DR,3928.49,392849
8810,DR,3443.62,344362
8813,DR,2914.67,291467
8860,DR,352.71,35271
8911,DR,7136.98,713698
8960,DR,603.12,60312
9060,DR,54898.90,5489890
9130,DR,4629.17,462917
9131,DR,479.08,47908
9225,DR,465.38,46538
9270,DR,292.70,29270
9275,DR,115.76,11576
9281,DR,4038.28,403828
