fy,account_code,account_name,account_type,gifi_code,t2125_line,debit,credit,net_cents
FY2025,1000,Business Bank - CIBC Chequing,asset,1001,,12171.83,0.00,1217183
FY2025,1070,Cash on Hand,asset,1001,,300.00,0.00,30000
FY2025,1200,Inventory - Food,asset,1121,,4673.66,0.00,467366
FY2025,1210,Inventory - Beverage,asset,1121,,930.75,0.00,93075
FY2025,1230,Inventory - Retail Goods,asset,1121,,4411.06,0.00,441106
FY2025,1300,Prepaid Expenses,asset,1484,,1490.07,0.00,149007
FY2025,2000,Accounts Payable,liability,2620,,0.00,7135.87,-713587
FY2025,2200,HST Payable,liability,2680,,0.00,13913.82,-1391382
FY2025,2210,HST ITC Receivable,liability,2680,,11260.87,0.00,1126087
FY2025,2250,CRA Charges Payable (Interest/Penalties),liability,2620,,0.00,219.10,-21910
FY2025,2400,Due to Shareholder - Thomas,liability,2781,,0.00,3403.90,-340390
FY2025,2410,Due to Shareholder - Dwayne,liability,2781,,0.00,1606.68,-160668
FY2025,2500,Due from Shareholder,liability,1301,,2041.36,0.00,204136
FY2025,2700,Payroll Liabilities - CPP,liability,2620,,202.07,0.00,20207
FY2025,2710,Payroll Liabilities - EI,liability,2620,,20.86,0.00,2086
FY2025,2720,Payroll Liabilities - Income Tax,liability,2620,,0.00,272.64,-27264
FY2025,3000,Share Capital (Corp only),equity,3500,,0.00,100.00,-10000
FY2025,3100,Retained Earnings,equity,3600,,0.00,16665.62,-1666562
FY2025,3400,Dividends Declared,equity,3600,,36900.00,0.00,3690000
FY2025,4000,Sales - Food,revenue,8000,8000,0.00,80379.30,-8037930
FY2025,4030,Sales - Retail Goods,revenue,8000,8000,0.00,275.60,-27560
FY2025,4090,Income - To Be Reviewed,revenue,8000,,0.00,5.00,-500
FY2025,4100,Sales - Online (Shopify),revenue,8000,8000,0.00,151676.17,-15167617
FY2025,4900,Sales Returns & Allowances,revenue,8000,,1429.50,0.00,142950
FY2025,5000,COGS - Food,expense,8518,8518,55139.55,0.00,5513955
FY2025,5002,COGS - Food - Sandwiches,expense,8518,8518,706.44,0.00,70644
FY2025,5004,COGS - Food - Frozen,expense,8518,8518,15685.16,0.00,1568516
FY2025,5005,COGS - Food - Bakery,expense,8518,8518,596.23,0.00,59623
FY2025,5006,COGS - Food - Dairy,expense,8518,8518,269.55,0.00,26955
FY2025,5007,COGS - Food - Meat/Deli,expense,8518,8518,1817.53,0.00,181753
FY2025,5010,COGS - Beverage,expense,8518,8518,0.00,536.89,-53689
FY2025,5011,COGS - Beverage - Soda,expense,8518,8518,1833.58,0.00,183358
